,Program Adı,Alt Program Adı,Faaliyet Adı,Kurum/Birim,Alt Faaliyet Adı,Finansman,Ekonomik,Tertip,İşlemler,2022,2023,2024,2021 YSHT,2022 Tavan Üstü,2021 KBÖ
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,657 S.K. 4/B Sözleşmeli Personel Zam ve Tazminatları,98.900.9001.251-0012.0023-01-01.02.20.01,,"25,000.00","29,000.00","32,000.00",0.00,0.00,0.00
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Kadro Karşılığı Sözleşmeli Personel Zam ve Tazminatları,98.900.9001.251-0012.0023-01-01.02.20.02,,"67,000.00","78,000.00","87,000.00",0.00,0.00,"77,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,657 S.K. 4/B Sözleşmeli Personel Sosyal Hakları,98.900.9001.251-0012.0023-01-01.02.40.01,,"1,000.00","1,000.00","1,000.00",0.00,0.00,0.00
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Kadro Karşılığı Sözleşmeli Personel Sosyal Hakları,98.900.9001.251-0012.0023-01-01.02.40.02,,"9,000.00","10,000.00","11,000.00",0.00,0.00,"11,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Kadro Karşılığı Sözleşmeli Personelin Ek Çalışma Karşılıkları,98.900.9001.251-0012.0023-01-01.02.50.02,,"21,000.00","24,000.00","27,000.00",0.00,0.00,"10,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Kadro Karşılığı Sözleşmeli Personelin Ödül ve İkramiyeleri,98.900.9001.251-0012.0023-01-01.02.60.02,,"101,000.00","117,000.00","130,000.00",0.00,0.00,"87,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Sosyal Güvenlik Primi Ödemeleri,98.900.9001.251-0012.0023-01-02.01.10.01,,"881,000.00","1,022,000.00","1,139,000.00",0.00,0.00,"726,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Sağlık Primi Ödemeleri,98.900.9001.251-0012.0023-01-02.01.10.02,,"570,000.00","661,000.00","737,000.00",0.00,0.00,"472,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Sosyal Güvenlik Primi Ödemeleri,98.900.9001.251-0012.0023-01-02.02.10.01,,"31,000.00","36,000.00","40,000.00",0.00,0.00,"26,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Sağlık Primi Ödemeleri,98.900.9001.251-0012.0023-01-02.02.10.02,,"21,000.00","24,000.00","27,000.00",0.00,0.00,"17,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Kırtasiye Alımları,98.900.9001.251-0012.0023-01-03.02.10.01,,"50,000.00","54,000.00","58,000.00",0.00,0.00,"38,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Büro  Malzemesi Alımları,98.900.9001.251-0012.0023-01-03.02.10.02,,"2,000.00","2,000.00","2,000.00",0.00,0.00,"2,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Periyodik Yayın Alımları,98.900.9001.251-0012.0023-01-03.02.10.03,,"21,000.00","23,000.00","25,000.00",0.00,0.00,"20,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Diğer Yayın Alımları,98.900.9001.251-0012.0023-01-03.02.10.04,,"58,000.00","63,000.00","68,000.00",0.00,0.00,"55,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Baskı ve Cilt Giderleri,98.900.9001.251-0012.0023-01-03.02.10.05,,"117,000.00","127,000.00","137,000.00",0.00,0.00,"110,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,"Diğer Kırtasiye, Yayın, Baskı ve Büro Malzemesi Alımları",98.900.9001.251-0012.0023-01-03.02.10.90,,"8,000.00","9,000.00","10,000.00",0.00,0.00,"8,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Yurtiçi Geçici Görev Yollukları,98.900.9001.251-0012.0023-01-03.03.10.01,,"92,000.00","100,000.00","108,000.00",0.00,0.00,"86,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Yurtdışı Geçici Görev Yollukları,98.900.9001.251-0012.0023-01-03.03.10.03,,"250,000.00","272,000.00","293,000.00",0.00,0.00,"220,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Yurtiçi Sürekli Görev Yollukları,98.900.9001.251-0012.0023-01-03.03.20.01,,"19,000.00","21,000.00","23,000.00",0.00,0.00,"18,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Posta ve Telgraf Giderleri,98.900.9001.251-0012.0023-01-03.05.20.01,,"22,000.00","24,000.00","26,000.00",0.00,0.00,"21,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,İnternet Erişimi Giderleri,98.900.9001.251-0012.0023-01-03.05.20.03,,"200,000.00","218,000.00","235,000.00",0.00,0.00,"330,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Yolcu Taşıma Giderleri,98.900.9001.251-0012.0023-01-03.05.30.02,,"19,000.00","21,000.00","23,000.00",0.00,0.00,"18,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Diğer Taşıma Giderleri,98.900.9001.251-0012.0023-01-03.05.30.90,,"8,000.00","9,000.00","10,000.00",0.00,0.00,"8,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Kurslara Katılma ve Eğitim Giderleri,98.900.9001.251-0012.0023-01-03.05.90.03,,"32,000.00","35,000.00","38,000.00",0.00,0.00,"30,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Sınıflandırmaya Girmeyen Diğer Hizmet Alımları,98.900.9001.251-0012.0023-01-03.05.90.90,,"3,000,000.00","3,263,000.00","3,519,000.00",0.00,0.00,"2,680,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,"Temsil, Tanıtma ve Ağırlama Giderleri",98.900.9001.251-0012.0023-01-03.06.10.01,,"50,000.00","54,000.00","58,000.00",0.00,0.00,"50,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Toplantı ve Organizasyon Giderleri,98.900.9001.251-0012.0023-01-03.06.20.01,,"500,000.00","544,000.00","587,000.00",0.00,0.00,"498,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Büro ve İşyeri Mal ve Malzeme Alımları,98.900.9001.251-0012.0023-01-03.07.10.01,,"36,000.00","39,000.00","42,000.00",0.00,0.00,"34,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Büro ve İşyeri Makine ve Techizat Alımları,98.900.9001.251-0012.0023-01-03.07.10.02,,"14,000.00","15,000.00","16,000.00",0.00,0.00,"14,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Fikri Hak Alımları,98.900.9001.251-0012.0023-01-03.07.20.02,,"79,000.00","86,000.00","93,000.00",0.00,0.00,"45,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Makine Teçhizat Bakım ve Onarım Giderleri,98.900.9001.251-0012.0023-01-03.07.30.02,,"43,000.00","47,000.00","51,000.00",0.00,0.00,"41,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"ÜST YÖNETİM, İDARİ VE MALİ HİZMETLER",Strateji Geliştirme ve Mali Hizmetler,STRATEJİ GELİŞTİRME BAŞKANLIĞI,Strateji Geliştirme ve Mali Hizmetler,Genel Bütçeli İdareler,Ulusal Fona,98.900.9001.251-0012.0023-01-05.03.10.80,,"585,000.00","678,000.00","731,000.00",0.00,0.00,"550,000.00"
-> Abdullah Gül Üniversitesine Hazine Yardımı,,,,,,,,,,0.00,0.00,"136,047,000.00",0.00,0.00,"95,547,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Abdullah Gül Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Abdullah Gül Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Abdullah Gül Üniversitesi'ne Hazine Yardımı,99.903.9187.15465-0012.0032-01-05.02.80.03,,"76,595,000.00","87,822,000.00","97,525,000.00",0.00,0.00,"58,210,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Abdullah Gül Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Abdullah Gül Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Abdullah Gül Üniversitesi'ne Hazine Yardımı,99.903.9187.15465-0012.0032-01-07.03.80.03,,"32,853,000.00","35,776,000.00","38,522,000.00",0.00,0.00,"37,337,000.00"
-> Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesine Hazine Yardımı,,,,,,,,,,0.00,0.00,"179,544,000.00",0.00,0.00,"116,727,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi'ne Hazine Yardımı,99.903.9189.15467-0012.0032-01-05.02.80.05,,"103,353,000.00","118,602,000.00","131,806,000.00",0.00,0.00,"76,927,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi'ne Hazine Yardımı,99.903.9189.15467-0012.0032-01-07.03.80.05,,"40,712,000.00","44,335,000.00","47,738,000.00",0.00,0.00,"39,800,000.00"
-> Adıyaman Üniversitesine Hazine Yardımı,,,,,,,,,,0.00,0.00,"376,621,000.00",0.00,0.00,"233,780,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Adıyaman Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Adıyaman Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Adıyaman Üniversitesi'ne Hazine Yardımı,99.903.9152.15430-0012.0032-01-05.02.70.67,,"266,412,000.00","306,466,000.00","340,822,000.00",0.00,0.00,"206,850,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Adıyaman Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Adıyaman Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Adıyaman Üniversitesi'ne Hazine Yardımı,99.903.9152.15430-0012.0032-01-07.03.70.67,,"30,530,000.00","33,247,000.00","35,799,000.00",0.00,0.00,"26,930,000.00"
-> Afyon Kocatepe Üniversitesine Hazine Yardımı,,,,,,,,,,0.00,0.00,"430,571,000.00",0.00,0.00,"252,894,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Afyon Kocatepe Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Afyon Kocatepe Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Afyon Kocatepe Üniversitesi'ne Hazine Yardımı,99.903.9129.15407-0012.0032-01-05.02.70.44,,"308,267,000.00","354,273,000.00","393,817,000.00",0.00,0.00,"228,894,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Afyon Kocatepe Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Afyon Kocatepe Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Afyon Kocatepe Üniversitesi'ne Hazine Yardımı,99.903.9129.15407-0012.0032-01-07.03.70.44,,"31,345,000.00","34,134,000.00","36,754,000.00",0.00,0.00,"24,000,000.00"
-> Afyonkarahisar Sağlık Bilimleri Üniversitesine Hazine Yardımı,,,,,,,,,,0.00,0.00,"291,690,000.00",0.00,0.00,"184,980,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Afyonkarahisar Sağlık Bilimleri Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Afyonkarahisar Sağlık Bilimleri Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Afyonkarahisar Sağlık Bilimleri Üniversitesi'ne Hazine Yardımı,99.903.9214.15492-0012.0032-01-05.02.80.31,,"184,275,000.00","211,388,000.00","234,903,000.00",0.00,0.00,"138,630,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Afyonkarahisar Sağlık Bilimleri Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Afyonkarahisar Sağlık Bilimleri Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Afyonkarahisar Sağlık Bilimleri Üniversitesi'ne Hazine Yardımı,99.903.9214.15492-0012.0032-01-07.03.80.31,,"48,430,000.00","52,741,000.00","56,787,000.00",0.00,0.00,"46,350,000.00"
-> Ağrı İbrahim Çeçen Üniversitesine Hazine Yardımı,,,,,,,,,,0.00,0.00,"244,650,000.00",0.00,0.00,"149,414,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Ağrı İbrahim Çeçen Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Ağrı İbrahim Çeçen Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Ağrı İbrahim Çeçen Üniversitesi'ne Hazine Yardımı,99.903.9156.15434-0012.0032-01-05.02.70.71,,"170,459,000.00","194,659,000.00","216,146,000.00",0.00,0.00,"125,614,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Ağrı İbrahim Çeçen Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Ağrı İbrahim Çeçen Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Ağrı İbrahim Çeçen Üniversitesi'ne Hazine Yardımı,99.903.9156.15434-0012.0032-01-07.03.70.71,,"24,309,000.00","26,472,000.00","28,504,000.00",0.00,0.00,"23,800,000.00"
-> Akdeniz Üniversitesine Hazine Yardımı,,,,,,,,,,0.00,0.00,"1,256,601,000.00",0.00,0.00,"747,069,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Akdeniz Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Akdeniz Üniversitesi ne Hazine Yardımı,Genel Bütçeli İdareler,Akdeniz Üniversitesi'ne Hazine Yardımı,99.903.9103.15381-0012.0032-01-05.02.70.18,,"851,866,000.00","981,242,000.00","1,091,271,000.00",0.00,0.00,"654,529,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Akdeniz Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Akdeniz Üniversitesi ne Hazine Yardımı,Genel Bütçeli İdareler,Akdeniz Üniversitesi'ne Hazine Yardımı,99.903.9103.15381-0012.0032-01-07.03.70.18,,"141,000,000.00","153,552,000.00","165,330,000.00",0.00,0.00,"92,540,000.00"
-> Aksaray Üniversitesine Hazine Yardımı,,,,,,,,,,0.00,0.00,"325,959,000.00",0.00,0.00,"198,169,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Aksaray Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Aksaray Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Aksaray Üniversitesi'ne Hazine Yardımı,99.903.9148.15426-0012.0032-01-05.02.70.63,,"227,287,000.00","261,722,000.00","291,134,000.00",0.00,0.00,"172,269,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Aksaray Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Aksaray Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Aksaray Üniversitesi'ne Hazine Yardımı,99.903.9148.15426-0012.0032-01-07.03.70.63,,"29,700,000.00","32,343,000.00","34,825,000.00",0.00,0.00,"25,900,000.00"
-> Alanya Alaaddin Keykubat Üniversitesine Hazine Yardımı,,,,,,,,,,0.00,0.00,"199,403,000.00",0.00,0.00,"111,501,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Alanya Alaaddin Keykubat Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Alanya Alaaddin Keykubat Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Alanya Alaaddin Keykubat Üniversitesi'ne Hazine Yardımı,99.903.9194.15472-0012.0032-01-05.02.80.10,,"119,697,000.00","137,410,000.00","152,794,000.00",0.00,0.00,"85,205,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Alanya Alaaddin Keykubat Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Alanya Alaaddin Keykubat Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Alanya Alaaddin Keykubat Üniversitesi'ne Hazine Yardımı,99.903.9194.15472-0012.0032-01-07.03.80.10,,"39,750,000.00","43,287,000.00","46,609,000.00",0.00,0.00,"26,296,000.00"
-> Amasya Üniversitesine Hazine Yardımı,,,,,,,,,,0.00,0.00,"249,214,000.00",0.00,0.00,"163,955,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Amasya Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Amasya Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Amasya Üniversitesi'ne Hazine Yardımı,99.903.9154.15432-0012.0032-01-05.02.70.69,,"181,817,000.00","208,729,000.00","232,095,000.00",0.00,0.00,"134,185,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Amasya Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Amasya Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Amasya Üniversitesi'ne Hazine Yardımı,99.903.9154.15432-0012.0032-01-07.03.70.69,,"14,600,000.00","15,899,000.00","17,119,000.00",0.00,0.00,"29,770,000.00"
-> Anadolu Üniversitesine Hazine Yardımı,,,,,,,,,,0.00,0.00,"655,156,000.00",0.00,0.00,"400,876,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Anadolu Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Anadolu Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Anadolu Üniversitesi'ne Hazine Yardımı,99.903.9101.15379-0012.0032-01-05.02.70.16,,"509,886,000.00","589,149,000.00","655,156,000.00",0.00,0.00,"400,876,000.00"
-> Ankara Hacı Bayram Veli Üniversitesine Hazine Yardımı,,,,,,,,,,0.00,0.00,"452,413,000.00",0.00,0.00,"280,073,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Ankara Hacı Bayram Veli Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Ankara Hacı Bayram veli Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Ankara Hacı Bayram Veli Üniversitesi'ne Hazine Yardımı,99.903.9204.15482-0012.0032-01-05.02.80.21,,"334,534,000.00","383,949,000.00","426,411,000.00",0.00,0.00,"253,783,000.00"
,PROGRAM DIŞI GİDERLER,HAZİNE YARDIMLARI,Ankara Hacı Bayram Veli Üniversitesine Hazine Yardımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Ankara Hacı Bayram veli Üniversitesine Hazine Yardımı,Genel Bütçeli İdareler,Ankara Hacı Bayram Veli Üniversitesi'ne Hazine Yardımı,99.903.9204.15482-0012.0032-01-07.03.80.21,,"22,176,000.00","24,149,000.00","26,002,000.00",0.00,0.00,"26,290,000.00"
-> Ankara Müzik ve Güzel Sanatlar Üniversitesine Hazine Yardımı,,,,,,,,,,0.00,0.00,"96,178,000.00",0.00,0.00,"47,567,000.00"
